Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_022.jpg;0;0;0;0;99.66999;85.58899;0.0002377731;64.64523;-1.837344E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_090.jpg;0;0;0;0;99.66999;85.58899;0.0002376853;64.64523;-1.446892E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_162.jpg;0;0;0;0;99.66999;85.58899;0.0002376033;64.64523;-1.082472E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_219.jpg;-3.78968;0;0;0;99.66999;85.58899;0.0002380202;64.13667;1.025307E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_286.jpg;-7.802547;0;0;0;99.66999;85.58899;0.0002393429;62.50357;7.854148E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_351.jpg;-11.67053;0;0;0;99.66999;85.589;0.0002394938;60.51791;1.528537E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_452.jpg;-15;0;0;0;99.66999;85.589;0.000237319;56.096;2.938409E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_502.jpg;-15;0;0;0;99.66999;85.589;0.00023707;54.29601;3.397081E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_570.jpg;-15;0;0;0;99.66999;85.589;0.0002356876;50.69603;4.195299E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_635.jpg;-15;0;0;0;99.66999;85.589;0.00023535;47.99607;4.645434E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_702.jpg;-15;0;0;0;99.66999;85.589;0.0002345048;45.29608;4.992313E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_771.jpg;-15;0;0;0;99.66999;85.589;0.0002338699;41.69611;5.165285E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_836.jpg;-15;0;0;0;99.66999;85.589;0.0002342271;38.99615;5.148598E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_904.jpg;-15;0;0;0;99.66999;85.589;0.0002348098;36.2962;5.075481E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_06_976.jpg;-15;0;0;0;99.66999;85.589;0.0002363741;32.69627;4.876664E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_035.jpg;-15;0;0;0;99.66999;85.589;0.0002383957;29.99631;4.620849E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_103.jpg;-15;0;0;0;99.66999;85.589;0.0002405964;27.29638;4.273422E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_170.jpg;-12.9938;0;0;0;99.66999;85.589;0.0002457829;23.93716;3.670934E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_236.jpg;-8.991838;0;0;0;99.67;85.589;0.0002509001;22.19781;2.986688E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_302.jpg;-5.002232;0;0;0;99.67;85.589;0.0002561649;21.05906;2.039231E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_370.jpg;-0.999949;0;0;0;99.67;85.589;0.00026152;20.57745;4.467056E-06
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_437.jpg;2.076034;0;0;0;99.67;85.589;0.0002638507;20.82656;-1.044546E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_501.jpg;-2.219565;0;0;0;99.67;85.589;0.0002651047;20.70974;-2.22895E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_568.jpg;-5.809369;0;0;0;99.67;85.589;0.0002657741;19.55842;-2.988253E-05
../lw_dataset/IMG/robocam_2018_01_19_17_52_07_636.jpg;-9.801338;0;0;0;99.67;85.589;0.0002665387;17.91468;-3.227018E-05
